time_s,voltage_V,current_A
0.000000e+00,0.000000e+00,1.050000e-03
2.150617e-13,2.084204e-04,1.050000e-03
4.301234e-13,1.557006e-04,1.050000e-03
6.451851e-13,1.153793e-04,1.050000e-03
8.602468e-13,9.244796e-05,1.050000e-03
1.075308e-12,7.920595e-05,1.050000e-03
1.290370e-12,7.161712e-05,1.050000e-03
1.505432e-12,6.778912e-05,1.050000e-03
1.720494e-12,6.686139e-05,1.050000e-03
1.935555e-12,6.855343e-05,1.050000e-03
2.150617e-12,7.301740e-05,1.050000e-03
2.365679e-12,8.085618e-05,1.050000e-03
2.580740e-12,9.330278e-05,1.050000e-03
2.795802e-12,1.126534e-04,1.050000e-03
3.010864e-12,1.432316e-04,1.050000e-03
3.225925e-12,1.936174e-04,1.050000e-03
3.440987e-12,2.821846e-04,1.050000e-03
3.656049e-12,4.521431e-04,1.050000e-03
3.871110e-12,8.130288e-04,1.050000e-03
4.086172e-12,1.604484e-03,1.050000e-03
4.301234e-12,2.573638e-03,1.050000e-03
4.516296e-12,1.655266e-03,1.050000e-03
4.731357e-12,5.731750e-04,1.050000e-03
4.946419e-12,3.874554e-04,1.049872e-03
5.161481e-12,3.870385e-04,1.049657e-03
5.376542e-12,3.866216e-04,1.049442e-03
5.591604e-12,3.862047e-04,1.049227e-03
5.806666e-12,3.857878e-04,1.049012e-03
6.021727e-12,3.853709e-04,1.048797e-03
6.236789e-12,3.849540e-04,1.048582e-03
6.451851e-12,3.845371e-04,1.048367e-03
6.666912e-12,3.841202e-04,1.048152e-03
6.881974e-12,3.837033e-04,1.047937e-03
7.097036e-12,3.832864e-04,1.047722e-03
7.312098e-12,3.828695e-04,1.047507e-03
7.527159e-12,3.824526e-04,1.047291e-03
7.742221e-12,3.820357e-04,1.047076e-03
7.957283e-12,3.816188e-04,1.046861e-03
8.172344e-12,3.812019e-04,1.046646e-03
8.387406e-12,3.807850e-04,1.046431e-03
8.602468e-12,3.803681e-04,1.046216e-03
8.817529e-12,3.799512e-04,1.046001e-03
9.032591e-12,3.795343e-04,1.045786e-03
9.247653e-12,3.791174e-04,1.045571e-03
9.462714e-12,3.787005e-04,1.045356e-03
9.677776e-12,3.782836e-04,1.045141e-03
9.892838e-12,3.778667e-04,1.044926e-03
